"id","listingType","featureGroups","numberOfRooms","price","debtFreePrice","livingArea","totalArea","pricePMsq","city","region","district","postalCode","floor","buildingAge","centrum","hasSauna","hasBalcony","hasParking","hasWalkInCloset","hasStorage","link"
"524323","Kerrostalo","apartment",4,89749.64,124000,89.5,89.5,1385.4748603352,"Kokkola","Kokkola","Keskusta","67100",2,60,1,0,0,0,0,0,"<a href='https://op-koti.fi/kohde/524323'>https://op-koti.fi/kohde/524323</a>"
"524485","Rivitalo","apartment",4,111293.87,119000,101,101,1178.21782178218,"Kokkola","Kokkola","Kiviniitty","67200",1,57,0,1,0,1,0,0,"<a href='https://op-koti.fi/kohde/524485'>https://op-koti.fi/kohde/524485</a>"
"524601","Rivitalo","apartment",3,139000,139000,79,79,1759.49367088608,"Jyväskylä","Jyväskylä","Palokka","40270",1,30,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/524601'>https://op-koti.fi/kohde/524601</a>"
"518008","Kerrostalo","apartment",4,64000,64000,78.1,78.1,819.462227912932,"Valkeakoski","Valkeakoski","Keskusta","37600",3,75,0,1,1,0,0,0,"<a href='https://op-koti.fi/kohde/518008'>https://op-koti.fi/kohde/518008</a>"
"683380","Kerrostalo","apartment",3,89000,89000,77.5,77.5,1148.38709677419,"Forssa","Forssa","Keskusta","30100",2,42,1,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/683380'>https://op-koti.fi/kohde/683380</a>"
"524638","Rivitalo","apartment",2,43000,43000,59,59,728.813559322034,"Salo","Salo","Kisko","25460",1,52,0,0,0,0,0,0,"<a href='https://op-koti.fi/kohde/524638'>https://op-koti.fi/kohde/524638</a>"
"508135","Kerrostalo","apartment",2,39000,39000,52.5,52.5,742.857142857143,"Jyväskylä","Jyväskylä","Pupuhuhta","40340",1,43,0,0,0,0,0,0,"<a href='https://op-koti.fi/kohde/508135'>https://op-koti.fi/kohde/508135</a>"
"524721","Rivitalo","apartment",5,348000,348000,143,143,2433.56643356643,"Tampere","Länsi","Kaarila","33270",1,56,0,1,0,1,0,1,"<a href='https://op-koti.fi/kohde/524721'>https://op-koti.fi/kohde/524721</a>"
"524607","Omakotitalo","apartment",4,268000,268000,150,178,1505.61797752809,"Raisio","Raisio","Tikanmaa","21210",0,38,0,1,0,0,1,0,"<a href='https://op-koti.fi/kohde/524607'>https://op-koti.fi/kohde/524607</a>"
"690141","Kerrostalo","apartment",2,99000,99000,59.5,59.5,1663.86554621849,"Äänekoski","Äänekoski","Keskusta","44100",3,21,1,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/690141'>https://op-koti.fi/kohde/690141</a>"
"524856","Kerrostalo","apartment",3,145000,145000,78.5,78.5,1847.13375796178,"Oulu","Oulu","Kaakkuri","90420",7,18,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/524856'>https://op-koti.fi/kohde/524856</a>"
"524685","Kerrostalo","apartment",1,119000,119000,29,29,4103.44827586207,"Sipoo","Sipoo","Nikkilä","04130",5,5,0,0,0,0,0,0,"<a href='https://op-koti.fi/kohde/524685'>https://op-koti.fi/kohde/524685</a>"
"524320","Kerrostalo","apartment",2,146000,146000,49,49,2979.59183673469,"Kokkola","Kokkola","Keskusta","67100",4,11,1,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/524320'>https://op-koti.fi/kohde/524320</a>"
"523804","Omakotitalo","apartment",4,35000,35000,119,162,216.049382716049,"Jämsä","Jämsä","Olkkola","42100",0,52,1,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/523804'>https://op-koti.fi/kohde/523804</a>"
"509626","Kerrostalo","apartment",3,49000,49000,76,76,644.736842105263,"Kuopio","Kuopio","Levänen","70780",1,45,0,0,0,0,0,0,"<a href='https://op-koti.fi/kohde/509626'>https://op-koti.fi/kohde/509626</a>"
