id,listingType,floor,numberOfRooms,price,debtFreePrice,city,region,district,postalCode,livingArea,totalArea,buildingAge,centrum,hasSauna,hasBalcony,hasParking,hasWalkInCloset,hasStorageRoom
624174,Rivitalo,0,2,42900.0,42900.0,Kokemäki,Kokemäki,Peipohja,32810,60.0,60.0,43.0,0,1,0,1,0,0
510868,Omakotitalo,0,4,248000.0,248000.0,Pieksämäki,Pieksämäki,Kontiomäki,76100,102.0,160.4,14.0,1,1,0,0,0,0
510613,Omakotitalo,0,4,160000.0,160000.0,Rovaniemi,Rovaniemi,Saarenkylä,96900,120.0,148.0,38.0,0,1,0,0,0,1
510046,Kerrostalo,6,1,169000.0,169000.0,Helsinki,Etelä-Helsinki,Pasila,00520,27.5,27.5,45.0,0,0,0,0,0,0
502653,Rivitalo,1,6,189000.0,189000.0,Kuopio,Kuopio,Puijonlaakso,70200,143.0,154.0,44.0,0,0,0,0,0,0
501085,Omakotitalo,0,5,150000.0,150000.0,Heinola,Heinola,Pyhätön,18100,155.0,235.0,56.0,1,1,0,1,0,0
501165,Kerrostalo,2,1,49500.0,49500.0,Iisalmi,Iisalmi,keskusta,74100,35.0,35.0,64.0,1,0,0,0,0,0
691665,Omakotitalo,0,4,465000.0,465000.0,Pälkäne,Pälkäne,Kantola,36600,120.0,120.0,42.0,0,1,0,1,0,0
692658,Rivitalo,1,2,69500.0,69500.0,Kokemäki,Kokemäki,Pyhänkorva,32800,56.0,56.0,15.0,0,1,0,0,0,0
500975,Kerrostalo,2,3,152000.0,152000.0,Savonlinna,Savonlinna,Heikinpohja,57100,76.0,76.0,17.0,1,1,1,0,0,0
501090,Omakotitalo,0,4,84000.0,84000.0,Pori,Pori,Reposaari,28900,99.0,99.0,72.0,0,1,0,0,0,0
511141,Omakotitalo,0,3,85000.0,85000.0,Simo,Simo,Simoniemi,95220,96.0,108.0,39.0,0,1,0,0,0,0
669097,Kerrostalo,3,4,21130.27,33000.0,Jämsä,Jämsä,Längelmäki,35400,94.0,94.0,47.0,0,0,0,0,0,0
510903,Paritalo,1,2,59000.0,59000.0,Muurame,Muurame,Kinkomaa,40930,61.0,61.0,45.0,0,1,0,0,0,1
511054,Rivitalo,1,3,145000.0,145000.0,Seinäjoki,Seinäjoki,Jouppi,60320,73.5,73.5,16.0,0,1,0,0,0,0
511204,Luhtitalo,1,2,25000.0,25000.0,Sysmä,Sysmä,Skinnarila,19700,48.5,48.5,38.0,0,0,0,0,0,0
510456,Rivitalo,1,2,99671.7,110000.0,Seinäjoki,Seinäjoki,Jouppi,60320,48.5,48.5,16.0,0,1,0,0,0,0
509971,Rivitalo,1,2,99671.7,110000.0,Seinäjoki,Seinäjoki,Jouppi,60320,48.5,48.5,16.0,0,1,0,0,0,0
